"Dates","MR_RF","SMB","HML"
2001-05-18,-0.0071,-0.0094,0.00695
2001-05-21,0.0164,0.00556666666666667,-0.017
2001-05-22,-2e-04,-0.0093,-4e-04
2001-05-23,-0.0092,0.000266666666666667,0.0024
2001-05-24,-0.0016,0.00303333333333333,-0.0035
2001-05-25,-0.0149,-0.00126666666666667,-5e-04
2001-05-28,0.01,0.00716666666666666,-0.00465
2001-05-29,-0.0101,0.001,0.00145
2001-05-30,0,0.000700000000000001,0.01185
2001-05-31,0.0025,-0.0021,-0.00015
2001-06-01,-0.0126,0.00836666666666666,0.00105
2001-06-04,0.007,-0.000466666666666667,-0.00165
2001-06-05,0.0042,-0.00673333333333333,-0.00145
2001-06-06,-3e-04,0.000133333333333333,0.00285
2001-06-07,-0.0061,0.00203333333333333,-0.0062
2001-06-08,2e-04,-0.00976666666666667,0.0011
2001-06-11,0.0043,-0.000866666666666666,0.0023
2001-06-12,-0.0085,0.00576666666666667,0.0038
2001-06-13,0.0033,-0.000533333333333334,-0.0012
2001-06-14,-0.0073,-0.0022,0.00235
2001-06-15,-0.0113,-0.0019,0.00165
2001-06-18,-0.0017,0.005,0.00245
2001-06-19,0.0148,0.00273333333333333,-0.0024
2001-06-20,-0.0108,0.00113333333333333,-0.00385
2001-06-21,0.0058,-0.000166666666666667,0.00095
2001-06-22,-0.0038,-0.000966666666666666,-0.0063
2001-06-25,0.0131,0.0025,-0.0013
2001-06-26,-0.0117,-0.00553333333333333,0.00675
2001-06-27,0.0011,0.00196666666666667,-0.00515
2001-06-28,-0.0012,0.00303333333333333,0.0097
2001-06-29,3e-04,6e-04,-0.00435
2001-07-02,0.0048,0.0023,-0.00115
2001-07-03,-0.0123,-0.0047,0.00105
2001-07-04,-0.0183,0.00206666666666667,-0.000699999999999999
2001-07-05,-0.0122,-0.000900000000000001,0.00035
2001-07-06,-0.0067,-0.00383333333333333,0.01395
2001-07-09,-0.0031,-0.00123333333333333,0.0023
2001-07-10,0.0104,0.00376666666666667,-0.00065
2001-07-11,-0.0027,0.00593333333333333,2e-04
2001-07-12,0.0084,-0.00213333333333333,-0.005
2001-07-13,0.0054,-0.000433333333333333,0.0032
2001-07-16,-0.001,0.00413333333333333,0.00505
2001-07-17,-0.0189,0.000366666666666667,-0.0042
2001-07-18,-0.0119,0.00323333333333333,-0.00695
2001-07-19,0.0112,0.0018,0.000149999999999999
2001-07-20,-0.0107,-0.00176666666666667,0.0014
2001-07-23,-0.002,-0.000466666666666667,-0.0017
2001-07-24,-0.0141,-3.33333333333331e-05,0.000900000000000001
2001-07-25,-0.0117,-0.00113333333333333,0.00135
2001-07-26,-0.0064,0.0031,8e-04
2001-07-27,0.0056,-0.00126666666666667,-0.00125
2001-07-30,0.0091,0.00106666666666667,0.00365
2001-07-31,0.001,0.00293333333333333,0.0036
2001-08-01,0.0185,-0.000266666666666668,-0.0029
2001-08-02,0.0187,0.00286666666666667,-0.0048
2001-08-03,-0.0069,0.000866666666666667,-0.0022
2001-08-06,-0.0061,-0.0016,9.99999999999999e-05
2001-08-07,-0.017,-0.00193333333333333,0.00365
2001-08-08,-0.0131,-0.0033,0.00125
2001-08-09,-2e-04,0,0
2001-08-10,-0.0015,4e-04,-0.0046
