"","Dates","B_Value","B_Neutral_PB","B_Growth","B_Winner","B_Neutral_MOM","B_Loser","S_Value","S_Neutral_PB","S_Growth","S_Winner","S_Neutral_MOM","S_Loser"
"1",2000-12-20,1.21345255918404,0.504120156962055,1.15260660537264,1.28923462495864,1.23080959729402,-0.0491588645354843,-0.905963283874868,-0.825928428321362,-0.917764726133336,-0.888342938340681,-0.848786852735926,-0.954278449829736
"2",2000-12-21,1.21345255918404,0.504120156962055,1.15260660537264,1.28923462495864,1.23080959729402,-0.0491588645354843,-0.905963283874868,-0.825928428321362,-0.917764726133336,-0.888342938340681,-0.848786852735926,-0.954278449829736
"3",2000-12-22,1.21345255918404,0.504120156962055,1.15260660537264,1.28923462495864,1.23080959729402,-0.0491588645354843,-0.905963283874868,-0.825928428321362,-0.917764726133336,-0.888342938340681,-0.848786852735926,-0.954278449829736
"4",2000-12-25,1.21748809036764,0.508706403924586,1.14641244733306,1.29009475098253,1.2298578927211,-0.0516681682800135,-0.905845453187868,-0.826056000575806,-0.917610709854153,-0.888279135171985,-0.848844336470196,-0.954255781788895
"5",2000-12-26,1.21989312705859,0.511442821827467,1.1427100067989,1.29060361789133,1.22928520712331,-0.0531661849676371,-0.905771815387904,-0.826129172405969,-0.917515424418782,-0.888237818744912,-0.848875578608472,-0.954238786165918
"6",2000-12-27,1.22148974139411,0.513260742889705,1.14024756238841,1.29093988662801,1.22890274235122,-0.0541617227017786,-0.905721515015916,-0.826176564692733,-0.917450718894646,-0.888209026232112,-0.848895069298607,-0.954226058815654
"7",2000-12-28,1.22262689006054,0.514556153496822,1.1384915362985,1.29117862969393,1.22862922867897,-0.0548712869614526,-0.90568499932633,-0.826209740988415,-0.917403926858157,-0.888187853818314,-0.848908341154323,-0.954216289121773
"8",2000-12-29,1.22347795714072,0.515526017331626,1.13717608145825,1.29135689793986,1.22842391812455,-0.0554026226644318,-0.905657293553313,-0.82623425577212,-0.917368520966477,-0.888171644839375,-0.848917941440582,-0.95420859275871
"9",2001-01-01,1.18186403132963,0.50808157742904,1.17472317679497,1.33660433223866,1.20357991879093,-0.0880002930002682,-0.90230782458148,-0.822435681407734,-0.913158989769614,-0.883117452466891,-0.845989447351138,-0.949843348006103
"10",2001-01-02,1.1488932021724,0.50205195961349,1.20347942517395,1.37129305020144,1.18367542278783,-0.113378578652333,-0.899296587434833,-0.819109634817805,-0.909472334428484,-0.878785496035757,-0.843331394764722,-0.946019033815183
"11",2001-01-03,1.12216216443493,0.497081753336347,1.22617625625087,1.39869480103571,1.16740073205923,-0.133674754747618,-0.89663291774697,-0.816216245438382,-0.906264809608253,-0.875069675725957,-0.840966287150862,-0.942691016699051
"12",2001-01-04,1.10007160604595,0.492920922416384,1.24452917384455,1.420867302437,1.15386158853628,-0.150264884664555,-0.894286231570299,-0.813696406925224,-0.903471126755139,-0.871865671402258,-0.838874325599957,-0.939791946362728
"13",2001-01-05,1.08152021052912,0.489390288696761,1.25966663565817,1.43916568868032,1.14243044082352,-0.164072634630612,-0.892216425615348,-0.811492560139667,-0.901027604592082,-0.86908419856467,-0.837023880179107,-0.937255960666413
