"","Dates","B_Value","B_Neutral_PB","B_Growth","B_Winner","B_Neutral_MOM","B_Loser","S_Value","S_Neutral_PB","S_Growth","S_Winner","S_Neutral_MOM","S_Loser"
"1",2000-12-20,-0.0956343588115374,-0.206882779868968,-0.0690885869207946,1.41334695908741,0.0484035250011082,-1.58088690466389,0.133434682566512,0.272745682392826,0.174307497107893,1.61500457487153,0.210705223059529,-1.91545551382162
"2",2000-12-21,-0.0886863874758782,-0.194439732060986,-0.0753888307327321,1.42681235291339,0.0138046584680022,-1.5778715738922,0.122623168890825,0.266926399905008,0.202911184419127,1.60795647895446,0.210005331671431,-1.91465305106045
"3",2000-12-22,-0.0889055501300644,-0.181592139316918,-0.0841433986549047,1.42725240007841,0.00664235998044465,-1.58603339971523,0.124170361125058,0.270997022813675,0.197888502405367,1.6131390720944,0.205091714788032,-1.90450694546828
"4",2000-12-25,-0.109879300664748,-0.173981591215277,-0.0890549553520456,1.43084425363605,-0.00887252395896803,-1.59329258541207,0.125150787977435,0.284011366962987,0.207094334353149,1.61514398635318,0.203458409772514,-1.89062218245221
"5",2000-12-26,-0.130103012492861,-0.178798496626459,-0.0905693689768389,1.43150254844362,-0.0122583842869671,-1.61445055092379,0.128450847548985,0.296333046055484,0.221258185772198,1.61555599441024,0.199617365046754,-1.86653817397037
"6",2000-12-27,-0.145023450383924,-0.177853008192872,-0.0810376385518271,1.43057357529605,-0.00344331545935117,-1.62562182651962,0.131658883528826,0.295315556697081,0.232141534139457,1.61594898474808,0.184197118764197,-1.8568564140661
"7",2000-12-28,-0.155003375308065,-0.173269247579727,-0.0757290376244585,1.43551484670641,0.003298724852615,-1.63550119419243,0.139651826491062,0.285285349856479,0.238114119463946,1.61642414493049,0.166852846978893,-1.84563900457521
"8",2000-12-29,-0.161144350192512,-0.166686818670337,-0.0775808520821324,1.43929675134285,-0.00152050914571018,-1.64098046663562,0.144906330287074,0.283759847541697,0.242012196290451,1.61936215731176,0.154230031638398,-1.83565431768592
"9",2001-01-01,-0.165424475719244,-0.167458152104223,-0.0806742214691896,1.44091257017844,-0.0105140043975344,-1.64390994198786,0.154356081742111,0.283358012040202,0.246457715518674,1.62783299326637,0.138627997956454,-1.8235645750242
"10",2001-01-02,-0.167543749708113,-0.170391234660777,-0.0882712610201408,1.44256916267601,-0.0222496552485228,-1.6452971110551,0.164725427341497,0.286650653879812,0.248304301551167,1.63694521574744,0.125704653840933,-1.81114640334421
